economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ECA,3071.19354688778,2831.72520234867,3012.90961389902,3137.18218017685,3160.35675589696,3082.90688638698,3130.89614719533,,,,,
ECS,3381.99824561566,3159.15121089798,3309.17858767216,3279.43399086472,3273.90469215026,3221.06455806696,3161.75579994898,,,,,
ECU,672.482721897888,788.083072273875,784.0520696865,817.584362516511,795.142902989053,843.978340755384,888.965229824386,,,,,
EGY,907.595251956208,911.488695681454,876.542080493619,900.660387964398,905.586605947728,848.62902916014,827.497038750532,,,,,
EMU,3730.76650350995,3511.67364950733,3627.00554448247,3486.35714419789,3445.62278065162,3405.03874581443,3266.22778835644,3329.02561338569,,,,
ERI,220.20829428931,231.353047514039,233.659586990689,236.344221117254,240.712297206489,243.06001030641,245.919604861203,,,,,
ESP,3026.33840815008,2757.69141158545,2742.87718222191,2689.68433721315,2683.36793480776,2512.10591924568,2464.6412905848,2571.34096211178,,,,
EST,4105.41773553014,3648.97884250083,4222.7371899585,4237.72919132254,4174.38776559391,4623.27911216793,4592.61645664469,4173.32658257102,,,,
ETH,486.760867919764,486.731873176834,486.690306871653,489.175651438284,489.193868080383,492.145166733583,493.130107994898,,,,,
EUU,3533.83642479756,3321.34073670571,3448.0235998075,3335.59201694285,3288.24727944879,3242.63919551927,3123.59565570034,3278.35207782641,,,,
FCS,683.30153618165,678.885854176323,702.22725878586,686.749869324943,698.642010986555,692.748120701351,619.680857299384,,,,,
FIN,6669.1733483595,6268.30054519017,6828.78375314542,6537.63729819133,6275.77096367897,6116.22729442255,6213.35776612777,5924.70012488295,,,,
FJI,,,,,,,,,,,,
FRA,4110.58597782222,3913.45794162876,4016.84807067409,3847.07219950468,3836.65629939189,3833.5342590538,3659.08779468449,3692.01783331053,,,,
FRO,,,,,,,,,,,,
FSM,,,,,,,,,,,,
GAB,2723.34706144989,2883.60119189891,3129.06721440068,2429.22447613095,2072.64426519866,2913.86517855669,2694.206022823,,,,,
GBR,3361.98051693016,3145.58566208284,3230.61598357655,2972.15306452967,3042.85987103811,2987.7005887871,2777.31098667728,2764.51667133806,,,,
GEO,780.719453473334,811.531979051069,824.543038190295,943.543902326697,993.739933288172,1048.34105681303,1180.27275264329,,,,,
GHA,266.119704129617,280.976377297319,298.912404365944,311.430297010211,329.158353673928,336.467934154704,331.827127643944,,,,,
GIB,4757.84927018171,5123.91990942137,5150.69227333631,4996.66746012854,5107.21183846908,5456.16430224966,5812.28132597996,,,,,
GIN,,,,,,,,,,,,
GMB,,,,,,,,,,,,
GNB,,,,,,,,,,,,
GNQ,,,,,,,,,,,,
GRC,2745.49345851777,2649.66120066261,2482.11011603727,2407.76273606811,2403.23047211089,2128.01066937973,2123.89789112844,2182.07109345882,,,,
GRD,,,,,,,,,,,,
GRL,,,,,,,,,,,,
GTM,593.720684002874,668.796352049508,714.910222082715,750.609079011384,749.044543673626,800.652234272298,863.568934549633,,,,,
GUM,,,,,,,,,,,,
GUY,,,,,,,,,,,,
HIC,5041.48341379987,4801.11773935452,4955.04686604373,4833.30661220305,4792.68382309069,4780.49164560348,4745.00965611836,4605.41787513116,,,,
HKG,2006.29854264279,2107.36633776962,1946.64616611144,2087.21166355563,1994.71559838324,1943.8454359303,1970.48412753302,,,,,
HND,582.812708504183,546.801778480096,548.73148279398,596.678446396334,593.07090219163,590.950936770758,597.93018407855,,,,,
HPC,411.35194264543,413.246628921029,417.740705671959,425.182210683988,436.200864327882,440.92417142816,,,,,,
HRV,2280.0706776914,2207.10302307847,2185.44698815741,2140.43613287975,2020.7523834474,1983.86794711738,1897.84066540377,,,,,
HTI,385.84388026003,385.378880646202,381.591280930009,389.086385381849,397.257436940794,394.023386181201,393.674684261751,,,,,
HUN,2636.64677330211,2478.10169965029,2568.94899141732,2500.32135857711,2365.55369652841,2271.94720512779,2314.49643377954,2432.75179142028,,,,
IBD,1345.31086173099,1364.75196436674,1450.15637128086,1500.169212489,1536.05201288989,1551.9856541426,1576.03185566183,,,,,
