economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
CEB,24116.2380754687,24913.4265047102,25177.0306724564,25566.8653042485,26389.2982816526,27483.6765959629,28419.3238655925,29901.2960330412,31308.7536427627,32642.8315076064
CHE,65819.7372527487,66342.0108170701,66440.2870236648,66877.1630488424,67682.6861750714,68025.9200383988,68663.2438230835,69103.570264696,70597.2920689752,70944.3548128194
CHI,,,,,,,,,,
CHL,21262.4669863046,22337.8605577365,23300.4423021747,24006.8123342917,24173.0649373708,24440.4152640916,24531.3577390333,24470.7036237008,25028.9099914626,24967.5802124235
CHN,8884.58803122605,9680.09769961662,10370.7265716791,11101.9389299934,11851.4042175796,12612.3516512418,13399.1373202744,14243.5326108491,15133.9956182327,15977.6452174354
CIV,3778.20847115295,3491.02126004928,3666.63750224907,3961.8285678639,4225.95576403733,4417.15021465621,4615.70925676518,4830.75051522678,5033.47882607719,5212.5540214586
CMR,3223.51002354578,3242.35444347816,3300.94551925072,3372.90383467693,3470.78565817389,3570.42455108195,3634.38113680394,3665.11785084879,3711.8504390923,3742.85677859297
COD,865.684040221023,894.826544520519,926.787816171911,972.455934329137,1029.79081257806,1065.24237107512,1055.57291467758,1059.81076228861,1085.89368770943,1097.9488401154
COG,5169.16742154605,5137.61168273842,5504.18495586818,5331.904082108,5552.84460631577,5224.30246714689,4544.07584108488,4234.65988322969,3928.42799927127,3825.70147959044
COL,11783.2999142858,12480.5465526004,12852.6257014235,13390.485196138,13852.2420491719,14095.748356648,14194.515663803,14171.3205005648,14314.8555765268,14585.3024908488
COM,2878.26971036373,2924.68551719278,2946.20222437818,3005.510856738,2996.3793452042,2959.49809656739,2987.97027465784,3032.26213308112,3073.11679381822,3058.81822882925
CPV,6200.3435365952,6366.1285114968,6353.70770434801,6323.37646188107,6281.79397089329,6266.88177858088,6482.72154971014,6643.17989182913,6864.1852980816,7171.8264247567
CRI,16830.436178231,17360.2015918103,17994.5362252246,18233.0159654334,18669.0966793599,19141.6830724285,19736.6653042104,20347.0347715873,20672.6158286056,20937.5382348599
CSS,15856.7687513358,15965.4757314094,16060.6295174305,16103.6357661159,16091.984457434,16125.9743087984,15818.3980233416,15737.804114857,15954.5085216088,15975.6486301184
CUB,,,,,,,,,,
CUW,28543.3607059699,28313.0486187097,28040.0360514959,27503.7894380048,26826.5923787915,26548.7000044222,26009.5280033975,25475.4896636129,25054.8952300259,24494.3426335232
CYM,66882.5075913816,66255.631772759,65835.0878214292,65598.181191409,66326.8874800978,67241.283390426,68484.5078432413,69753.0897229101,71784.0480787384,73633.7016276696
CYP,38296.6994508689,37481.8113367819,35642.6407605621,33384.4662474464,33136.4813831636,34453.1188480826,36509.0695470302,38287.9691989983,39976.9992379722,41521.9234222843
CZE,33483.137594809,34002.1897752206,33688.0998344582,33661.4684161727,34386.7049143977,36168.4185553861,37014.9592935816,38824.8879170919,39932.992193117,40981.0565086432
DEU,46999.2399709894,49757.9241566763,49872.4474888681,49954.173749339,50845.5269954271,51159.2974643888,51879.6725937905,53071.4555699913,53486.8405707004,53929.6392852715
DJI,,,,4028.4323695284,4238.9443547647,4488.80265798112,4709.52388928192,4885.20503911992,5214.07218666426,5534.76617152744
DMA,12003.7660822063,11971.0201324486,11837.2360018054,11708.1449960953,12216.5318416184,11873.7418376836,12154.7514389872,11304.0433278877,11527.5710590255,12368.939418155
DNK,50825.4122929358,51293.2061782002,51216.309409926,51479.2664533017,52048.3354927846,52892.6460290247,54185.0084787703,55356.680780178,56178.7746299825,57161.6863893418
DOM,12782.4571724153,13024.3285156301,13219.6941289337,13702.3212058786,14499.6304101602,15328.3595089817,16166.6115259959,16735.3644228294,17711.7955337583,18412.8999875519
DZA,10970.6924199942,11078.2282434402,11233.5170375144,11319.0826671926,11512.6904716992,11696.9503570415,11826.1513798046,11737.4012353821,11630.6794086748,11521.9842097494
EAP,8510.81309223502,9137.42596159709,9731.90327674239,10329.5055596403,10933.6644770155,11552.1556671967,12202.0631462541,12903.4243245362,13637.5491018788,14329.6229583008
EAR,7085.04643905025,7338.60769905684,7547.73352289047,7787.74233258492,8041.59208423569,8333.70358206756,8656.25840269613,8963.45945822964,9212.20609227299,9334.79046912232
EAS,11905.96421551,12520.9069898225,13113.9716825259,13731.2033355861,14322.6585724727,14927.7122190611,15561.0614008367,16277.5927965605,16996.2631564529,17649.0008763733
