economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
EAP,2.45673293468438,3.80361591193654,4.80523711312253,3.95861173468745,6.27047332383441,6.6190618092159,7.70038274109897,,,,,
EAR,-40.1046431618928,-33.2989481855334,-31.7267405996226,-32.6878599804041,-29.0354946768998,-27.8075046194089,-18.8253170996858,30.5365337775948,,,,
EAS,16.3995761903117,15.9331172774393,16.2429365815406,15.9327968835377,17.5255422205568,17.1589382667556,17.3633188845234,44.7216977261926,,,,
ECA,-46.0144743614732,-49.6065457206505,-48.7180931182372,-45.8121713226723,-45.4226616736048,-50.981264292424,-51.3778507068446,75.2078800411834,,,,
ECS,4.94746770306712,3.32190972331796,4.27881595968594,3.52791188046981,3.16976629216339,1.24393470440203,0.592608639256577,42.6632868872852,,,,
ECU,-178.773833420937,-125.649085186333,-123.069562457862,-117.98283613741,-125.657511467703,-118.758879898847,-114.712138196457,,,,,
EGY,-23.3296667617587,-18.9783834675554,-16.4616387914966,-9.87107049705205,-4.97010311013187,-6.89169048632898,-7.39149397580216,,,,,
EMU,61.7639921493861,60.9492822793691,60.4708320167267,60.0569711605027,59.4796331733871,58.2480086704676,57.7216701111546,59.8388238437354,,,,
ERI,19.1057899028838,22.206058993936,21.5773964198309,21.8835365315829,22.5361096198584,22.3554708559536,22.2672343184556,,,,,
ESP,78.1769195265934,76.2369193504333,73.049632738388,74.5570829863406,73.3105596719211,70.343061133229,69.3597896156312,71.4326602897426,,,,
EST,23.0256135877113,14.6217454062609,12.3132559734878,10.4453661093835,7.79022379282528,7.2269190549618,3.39720343914341,-2.70595995389848,,,,
ETH,4.84375282997219,4.79024921788802,4.56774259193614,4.93741611436119,4.94624832602981,5.58576848838172,5.9263144174666,,,,,
EUU,55.2771242379775,54.4662055106353,54.5865034033606,53.9723811903881,53.0080117340948,52.355991257053,51.8753635165511,54.7035045160894,,,,
FCS,-130.155552392431,-126.631573810499,-124.316771636198,-111.314142552589,-110.15781129154,-100.236587399911,-83.5253959952764,,,,,
FIN,53.3535732143876,50.2790742315822,52.2354339314894,51.1549180720642,49.0107821085903,45.3050561641201,46.1972755140458,45.3337850256363,,,,
FJI,,,,,,,,,,,,
FRA,48.5180917888075,49.2453109301466,48.1634659237485,46.0602146261342,46.7992310665818,46.3528750172623,43.4852718520015,44.1101659652436,,,,
FRO,,,,,,,,,,,,
FSM,,,,,,,,,,,,
GAB,-281.43141371334,-258.78184075962,-235.337132840961,-292.208226976142,-332.609615222346,-205.164809242153,-213.400519530877,,,,,
